conflict_phase,total_fare_usd
Pre-Pandemic Baseline,1457.07
Pre-Pandemic Baseline,1367.65
Pre-Pandemic Baseline,1371.61
Pre-Pandemic Baseline,1466.34
Pre-Pandemic Baseline,1528.12
Pre-Pandemic Baseline,1604.57
Pre-Pandemic Baseline,1518.57
Pre-Pandemic Baseline,1610.75
Pre-Pandemic Baseline,1445.28
Pre-Pandemic Baseline,1432.62
Pre-Pandemic Baseline,1427.48
Pre-Pandemic Baseline,1430.45
Pre-Pandemic Baseline,1467.74
Pre-Pandemic Baseline,1512.03
COVID-19 Collapse,590.01
COVID-19 Collapse,503.63
COVID-19 Collapse,581.02
COVID-19 Collapse,577.43
COVID-19 Collapse,501.66
COVID-19 Collapse,673.59
COVID-19 Collapse,417.7
COVID-19 Collapse,530.78
COVID-19 Collapse,490.08
COVID-19 Collapse,400.75
COVID-19 Collapse,543.8
COVID-19 Collapse,678.28
COVID-19 Collapse,647.99
COVID-19 Collapse,796.41
COVID-19 Collapse,614.92
Recovery & Surge,1538.77
Recovery & Surge,1671.87
Recovery & Surge,1902.28
Recovery & Surge,1714.03
Recovery & Surge,1855.53
Recovery & Surge,2355.59
Recovery & Surge,1894.97
Recovery & Surge,2052.72
Recovery & Surge,2018.74
Ukraine War Shock,2580.57
Ukraine War Shock,2348.09
Ukraine War Shock,2313.65
Ukraine War Shock,2623.7
Ukraine War Shock,1857.78
Ukraine War Shock,2335.52
Ukraine War Shock,2187.95
Ukraine War Shock,2121.95
Ukraine War Shock,2298.51
Ukraine War Shock,2398.77
Stabilisation,1497.14
Stabilisation,1828.25
Stabilisation,1713.94
Stabilisation,1673.13
Stabilisation,1656.4
Stabilisation,1859.7
Stabilisation,1693.54
Stabilisation,1954.15
Stabilisation,1669.73
Gaza-Israel Conflict,1522.94
Gaza-Israel Conflict,1664.86
Gaza-Israel Conflict,1585.27
Gaza-Israel Conflict,1738.39
Gaza-Israel Conflict,1643.69
Gaza-Israel Conflict,1571.67
Gaza-Israel Conflict,1550.56
Gaza-Israel Conflict,1649.25
Gaza-Israel Conflict,1672.33
Gaza-Israel Conflict,1686.97
Gaza-Israel Conflict,1802.96
Gaza-Israel Conflict,1598.24
Gaza-Israel Conflict,1602.9
Gaza-Israel Conflict,1669.52
Pre-Iran Escalation,1676.72
Pre-Iran Escalation,1766.48
Pre-Iran Escalation,1679.49
Pre-Iran Escalation,1644.33
Pre-Iran Escalation,2030.68
Pre-Iran Escalation,1945.58
Pre-Iran Escalation,1646.36
Pre-Iran Escalation,1776.71
Pre-Iran Escalation,1684.57
Pre-Iran Escalation,1835.04
Pre-Iran Escalation,1912.75
Pre-Iran Escalation,1809.0
US-Iran War Conflict,3556.87
US-Iran War Conflict,3725.71
US-Iran War Conflict,3694.14
US-Iran War Conflict,3373.16
Pre-Pandemic Baseline,375.91
Pre-Pandemic Baseline,359.35
Pre-Pandemic Baseline,400.78
Pre-Pandemic Baseline,416.98
Pre-Pandemic Baseline,408.81
Pre-Pandemic Baseline,369.78
Pre-Pandemic Baseline,406.08
Pre-Pandemic Baseline,410.2
Pre-Pandemic Baseline,429.94
Pre-Pandemic Baseline,409.19
Pre-Pandemic Baseline,376.2
Pre-Pandemic Baseline,351.26
Pre-Pandemic Baseline,376.21
Pre-Pandemic Baseline,417.04
COVID-19 Collapse,137.49
COVID-19 Collapse,107.19
COVID-19 Collapse,95.76
COVID-19 Collapse,109.73
COVID-19 Collapse,109.1
COVID-19 Collapse,128.37
COVID-19 Collapse,168.39
